"basin","BFI","Q.mm_y","Q90.mm_d","Q10.mm_d","FDC.slope","flow.winter","flow.summer","class.Q.kmeans"
1620500,0.41,580,0.0598,3.3708,5.56,0.038,0.016,2
1632000,0.38,345,0.0243,2.0185,6.2,0.037,0.015,2
1632900,0.59,288,0.1498,1.5378,4.52,0.037,0.018,1
1634500,0.47,366,0.1019,2.0851,5.24,0.037,0.014,2
1638480,0.48,372,0.058,2.088,4.8,0.037,0.017,2
1639500,0.57,401,0.2108,2.08,4.4,0.04,0.02,1
1644000,0.51,362,0.0456,2.1447,4.91,0.038,0.017,2
1658500,0.38,345,0.027,1.674,5.01,0.041,0.013,2
1664000,0.55,401,0.0976,2.1951,4.44,0.038,0.019,1
1666500,0.57,450,0.2008,2.2035,3.97,0.037,0.022,1
1667500,0.56,422,0.1577,2.2646,4.29,0.038,0.021,1
1669000,0.66,350,0.1291,1.9369,3.61,0.037,0.02,1
2011400,0.53,367,0.1559,2.1228,5.07,0.038,0.017,1
2011460,0.45,529,0.0894,3.2464,5.18,0.041,0.014,2
2013000,0.44,362,0.1036,2.1472,5.91,0.04,0.014,2
2014000,0.53,395,0.1664,2.2974,4.99,0.038,0.017,1
2015700,0.55,500,0.3005,2.6354,5.04,0.037,0.019,1
2016000,0.49,428,0.1802,2.3954,5.24,0.039,0.017,2
2017500,0.5,426,0.1152,2.8455,6.04,0.039,0.015,2
2018000,0.5,409,0.1407,2.4977,5.45,0.039,0.017,2
2027000,0.57,599,0.1929,3.4313,4.39,0.04,0.018,1
2027500,0.56,691,0.1989,3.9583,4.39,0.04,0.019,1
2028500,0.56,529,0.1498,3.1256,4.3,0.038,0.019,1
2038850,0.57,313,0.1557,1.4457,4.03,0.039,0.019,1
2046000,0.44,329,0.0296,1.8878,5.08,0.039,0.016,2
2051500,0.47,316,0.0942,1.6282,5.04,0.039,0.017,2
2053200,0.4,328,0.0163,2.408,6.82,0.042,0.019,2
2053800,0.59,360,0.2177,1.8893,4.61,0.035,0.022,1
2055100,0.6,363,0.1736,1.8941,4.23,0.036,0.022,1
2056900,0.62,378,0.2463,1.8144,3.85,0.035,0.025,1
