"files","basin","event.size.mm"
"Cdata_id_03460000.mat","03460000",11.0277710366403
"Cdata_id_03463300.mat","03463300",11.2627626590808
"Cdata_id_03471500.mat","03471500",8.2720353699929
"Cdata_id_03473000.mat","03473000",7.5758263031567
"Cdata_id_03479000.mat","03479000",9.01190284627106
"Cdata_id_03488000.mat","03488000",7.40077479855198
"Cdata_id_03498500.mat","03498500",9.029169819421
"Cdata_id_03500000.mat","03500000",12.7154833189378
"Cdata_id_03500240.mat","03500240",13.190430653487
"Cdata_id_03504000.mat","03504000",14.7694763772471
"Cdata_id_03574500.mat","03574500",10.64060907972
"Cdata_id_03592718.mat","03592718",13.9542164620545
"Cdata_id_03604000.mat","03604000",11.6983421834382
"Cdata_id_04015330.mat","04015330",6.34478450474307
"Cdata_id_04024430.mat","04024430",6.02866189381082
"Cdata_id_04027000.mat","04027000",5.55008651819323
"Cdata_id_04040500.mat","04040500",5.73408044418334
"Cdata_id_04043050.mat","04043050",5.85227030575053
"Cdata_id_04045500.mat","04045500",5.13682589706446
"Cdata_id_04056500.mat","04056500",4.85415254198876
"Cdata_id_04057510.mat","04057510",5.6520149160676
"Cdata_id_04057800.mat","04057800",6.04396280469365
"Cdata_id_04059500.mat","04059500",4.77255625588748
"Cdata_id_04063700.mat","04063700",5.59882937808734
"Cdata_id_04074950.mat","04074950",5.35116585480145
"Cdata_id_04105700.mat","04105700",6.98305231732294
"Cdata_id_04122200.mat","04122200",6.36434151544429
"Cdata_id_04122500.mat","04122500",5.91147970368166
"Cdata_id_04124000.mat","04124000",4.42566936918394
"Cdata_id_04127997.mat","04127997",5.35123381904262
"Cdata_id_04161580.mat","04161580",7.57005182403918
"Cdata_id_04185000.mat","04185000",6.42659224556352
"Cdata_id_04196800.mat","04196800",6.5301288913307
"Cdata_id_04197100.mat","04197100",6.79986196556303
"Cdata_id_04213000.mat","04213000",6.94399614033843
"Cdata_id_04216418.mat","04216418",6.34389598350853
"Cdata_id_04221000.mat","04221000",6.1044285135258
"Cdata_id_04224775.mat","04224775",6.35488594225876
"Cdata_id_04233000.mat","04233000",6.72094982192964
"Cdata_id_04256000.mat","04256000",6.92466842547812
"Cdata_id_04296000.mat","04296000",6.06784678940786
"Cdata_id_05056000.mat","05056000",3.72174593523326
"Cdata_id_05057000.mat","05057000",3.50282812326047
"Cdata_id_05057200.mat","05057200",5.40757178496027
"Cdata_id_05120500.mat","05120500",5.69609418644029
"Cdata_id_05123400.mat","05123400",3.81429980508955
"Cdata_id_05129115.mat","05129115",4.50528106163684
"Cdata_id_05131500.mat","05131500",4.00591974108056
"Cdata_id_05291000.mat","05291000",6.4444872357899
"Cdata_id_05362000.mat","05362000",5.74682233663839
"Cdata_id_05393500.mat","05393500",7.16020604098397
"Cdata_id_05399500.mat","05399500",6.41525275474244
"Cdata_id_05408000.mat","05408000",7.51058429381165
"Cdata_id_05412500.mat","05412500",6.62209692103895
"Cdata_id_05413500.mat","05413500",7.70180613894377
"Cdata_id_05414000.mat","05414000",7.79379953544217
"Cdata_id_05444000.mat","05444000",8.26347796517305
"Cdata_id_05454000.mat","05454000",8.9195461437951
"Cdata_id_05458000.mat","05458000",7.33605422827578
"Cdata_id_05466500.mat","05466500",6.88805698718951
"Cdata_id_05487980.mat","05487980",7.91598156391779
"Cdata_id_05489000.mat","05489000",8.36184344835233
"Cdata_id_05495000.mat","05495000",7.96905385399546
"Cdata_id_05495500.mat","05495500",8.53843062427912
"Cdata_id_05501000.mat","05501000",8.88530204581492
"Cdata_id_05503800.mat","05503800",10.4895338128744
"Cdata_id_05507600.mat","05507600",9.57755060819241
"Cdata_id_05508805.mat","05508805",9.30732220560161
"Cdata_id_05514500.mat","05514500",8.27551599999784
"Cdata_id_05525500.mat","05525500",7.56218965363301
"Cdata_id_05556500.mat","05556500",7.66867070194047
"Cdata_id_05584500.mat","05584500",7.89044063815424
"Cdata_id_05585000.mat","05585000",7.47385902872715
"Cdata_id_05591550.mat","05591550",9.40527938251655
"Cdata_id_05592050.mat","05592050",9.05295645430654
"Cdata_id_05593575.mat","05593575",9.98418034431989
"Cdata_id_05593900.mat","05593900",9.70303605226945
"Cdata_id_05595730.mat","05595730",10.2909062509547
"Cdata_id_06191500.mat","06191500",3.17746193195619
"Cdata_id_06224000.mat","06224000",4.79795910960101
"Cdata_id_06278300.mat","06278300",6.32030878603983
"Cdata_id_06280300.mat","06280300",4.5503684493829
"Cdata_id_06289000.mat","06289000",5.1085834117069
"Cdata_id_06311000.mat","06311000",5.95786313123165
"Cdata_id_06332515.mat","06332515",5.5983490036588
"Cdata_id_06339100.mat","06339100",4.96538709833394
"Cdata_id_06339500.mat","06339500",3.89687846093879
"Cdata_id_06344600.mat","06344600",4.94340147959532
"Cdata_id_06350000.mat","06350000",4.39143867804893
"Cdata_id_06352000.mat","06352000",4.47214884273096
"Cdata_id_06353000.mat","06353000",3.85479897737904
"Cdata_id_06354000.mat","06354000",3.23215211716387
"Cdata_id_06360500.mat","06360500",3.31760041397548
"Cdata_id_06404000.mat","06404000",5.91633088875217
"Cdata_id_06406000.mat","06406000",5.1989077637776
"Cdata_id_06409000.mat","06409000",5.34389495439039
"Cdata_id_06431500.mat","06431500",5.66758295374316
"Cdata_id_06447000.mat","06447000",3.35814844036109
"Cdata_id_06447500.mat","06447500",5.81603665157383
"Cdata_id_06450500.mat","06450500",4.58215465216236
"Cdata_id_06452000.mat","06452000",3.04760981219884
"Cdata_id_06453600.mat","06453600",5.91498094987859
"Cdata_id_06464500.mat","06464500",5.3640445161101
"Cdata_id_06468170.mat","06468170",4.70099365746587
"Cdata_id_06470800.mat","06470800",6.17834760265709
"Cdata_id_06477500.mat","06477500",6.21243536418013
"Cdata_id_06479438.mat","06479438",6.26230631825137
"Cdata_id_06601000.mat","06601000",8.35028830499012
"Cdata_id_06614800.mat","06614800",8.51962754555198
"Cdata_id_06622700.mat","06622700",6.38829366275184
"Cdata_id_06623800.mat","06623800",7.19881049398683
"Cdata_id_06632400.mat","06632400",6.27182468988461
"Cdata_id_06746095.mat","06746095",8.15682540391646
"Cdata_id_06784000.mat","06784000",5.05002714671576
"Cdata_id_06803510.mat","06803510",8.9121359509412
"Cdata_id_06803530.mat","06803530",8.58551550501042
"Cdata_id_06814000.mat","06814000",8.85870497731129
"Cdata_id_06847900.mat","06847900",6.37773033148303
"Cdata_id_06853800.mat","06853800",8.09524028436
"Cdata_id_06876700.mat","06876700",8.29611282567458
"Cdata_id_06878000.mat","06878000",8.31750106850871
"Cdata_id_06879650.mat","06879650",10.8472284319029
"Cdata_id_06885500.mat","06885500",9.20634667410956
"Cdata_id_06888500.mat","06888500",9.05786661343418
"Cdata_id_06889200.mat","06889200",9.98815538604057
"Cdata_id_06889500.mat","06889500",8.87963770845954
"Cdata_id_06892000.mat","06892000",8.57018290416933
"Cdata_id_06903400.mat","06903400",8.49206614422755
"Cdata_id_06910800.mat","06910800",10.3187586365398
"Cdata_id_06911900.mat","06911900",10.505513099468
"Cdata_id_06917000.mat","06917000",11.0203610602226
"Cdata_id_06918460.mat","06918460",10.5958647250553
"Cdata_id_06919500.mat","06919500",10.6523415623896
"Cdata_id_06921070.mat","06921070",10.2917283638252
"Cdata_id_06921200.mat","06921200",11.6295433019674
"Cdata_id_07014500.mat","07014500",8.59403199155291
"Cdata_id_07056000.mat","07056000",11.1607319670958
"Cdata_id_07057500.mat","07057500",10.4562639825218
"Cdata_id_07060710.mat","07060710",13.4407515946067
"Cdata_id_07066000.mat","07066000",11.6398355882607
"Cdata_id_07067000.mat","07067000",9.34588719080903
"Cdata_id_07068000.mat","07068000",8.67836814865538
"Cdata_id_07071500.mat","07071500",9.7738165416592
"Cdata_id_07083000.mat","07083000",5.96809414991247
"Cdata_id_07142300.mat","07142300",8.21893335453134
"Cdata_id_07145700.mat","07145700",10.7484145141732
"Cdata_id_07148400.mat","07148400",8.46912647106499
"Cdata_id_07149000.mat","07149000",8.60907634461501
"Cdata_id_07151500.mat","07151500",8.47124284349868
"Cdata_id_07167500.mat","07167500",11.2601112180512
"Cdata_id_07180500.mat","07180500",12.4388997902689
"Cdata_id_07184000.mat","07184000",10.9722837123569
"Cdata_id_07195800.mat","07195800",13.4405174485654
"Cdata_id_07196900.mat","07196900",13.7519957389933
"Cdata_id_07197000.mat","07197000",11.9152761965748
"Cdata_id_07208500.mat","07208500",7.27070248434686
"Cdata_id_07226500.mat","07226500",4.25292211624834
"Cdata_id_07261000.mat","07261000",13.0014820405455
"Cdata_id_07291000.mat","07291000",14.3225826871754
"Cdata_id_07292500.mat","07292500",12.27461551448
"Cdata_id_07299670.mat","07299670",9.2483902499369
"Cdata_id_07301410.mat","07301410",9.41746347241895
"Cdata_id_07301500.mat","07301500",5.8685182897898
"Cdata_id_07315200.mat","07315200",11.5133227193185
"Cdata_id_07315700.mat","07315700",10.898446997943
"Cdata_id_07335700.mat","07335700",16.9191546852585
"Cdata_id_07340300.mat","07340300",14.9578608082253
"Cdata_id_07346045.mat","07346045",11.872375846795
"Cdata_id_07362100.mat","07362100",12.6365991368893
"Cdata_id_07373000.mat","07373000",14.6497900717803
"Cdata_id_07375000.mat","07375000",13.8681083453873
"Cdata_id_08013000.mat","08013000",11.6215767601116
"Cdata_id_08014500.mat","08014500",12.2853984106567
"Cdata_id_08023080.mat","08023080",13.8641835305843
"Cdata_id_08029500.mat","08029500",14.7464950981845
"Cdata_id_08066200.mat","08066200",13.7747193874332
"Cdata_id_08066300.mat","08066300",13.5373149004143
"Cdata_id_08070000.mat","08070000",11.6439011256692
"Cdata_id_08079600.mat","08079600",6.43128964054019
"Cdata_id_08082700.mat","08082700",10.6032748289703
"Cdata_id_08086212.mat","08086212",9.0550251900642
"Cdata_id_08086290.mat","08086290",9.91021583993614
"Cdata_id_08101000.mat","08101000",9.37311659130413
"Cdata_id_08103900.mat","08103900",12.2447123885166
"Cdata_id_08104900.mat","08104900",10.5237581862658
"Cdata_id_08109700.mat","08109700",11.0674457797992
"Cdata_id_08150800.mat","08150800",10.2405861246212
"Cdata_id_08158700.mat","08158700",10.9421832892734
"Cdata_id_08158810.mat","08158810",11.9404571005649
"Cdata_id_08164000.mat","08164000",9.03045936796022
"Cdata_id_08164300.mat","08164300",11.0920403726955
"Cdata_id_08164600.mat","08164600",12.5020454012287
"Cdata_id_08165300.mat","08165300",12.2730870765001
"Cdata_id_08171300.mat","08171300",9.41182468290798
"Cdata_id_08175000.mat","08175000",8.89272683919625
